Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Shellbur H,Shellbur radical,All SOMOS,SOMO energies,All electrophilicities,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
1,1,[H]C(N)=O,H4,C1,5,51,TRUE,93.172745,0.10369,0.088222,0.156509,0.038549,-5.9714,-5.9714,-5.9714,-5.9714,-0.138173,1.297249413,1.297249413,1.297249413,1.297249413,20.31464547,61.6422627,2.661118697,24.04420684,[-5.9714],[-169.224889503632],[1.2972494131253092],1,C6,O=C1CCCC=C1,-1.6968,-6.7421,4.2746,0.7707,71.56065729,1,0,0,0,0,0,0,0,0,0,0,0
2,1,[H]C(N)=O,H4,C1,5,76,TRUE,93.172745,0.10369,0.088222,0.156509,0.038549,-5.9714,-5.9714,-5.9714,-5.9714,-0.138173,1.297249413,1.297249413,1.297249413,1.297249413,20.31464547,61.6422627,2.661118697,24.04420684,[-5.9714],[-169.224889503632],[1.2972494131253092],2,C2,C/C=C/C(OC)=O,-1.3725,-7.4732,4.5989,1.5018,71.69631139,1,0,0,0,0,0,0,0,0,0,0,0
3,2,[H]C(N(C)C)=O,H7-H12,C3,5,86,TRUE,92.2349,0.20931,0.117865,0.153014,0.040287,-4.9154,-4.9146,-4.9151,-4.915035339,-0.004328,0.9422255982,0.9425927027,0.9424196139,0.9424134372,24.9001509,60.75500181,11.02477986,25.51873123,"[-4.9146, -4.9154, -4.9151]","[-247.76975771125402, -247.76976954787298, -247.769778184132]","[0.942225598168131, 0.9425927026901237, 0.9424196138553173]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,2.951835339,2.710064661,71.91406126,1,0,0,0,0,0,0,0,0,0,0,0
3,2,[H]C(N(C)C)=O,H6,C1,5,0,FALSE,93.20851,0.10882,0.081955,0.166862,0.033286,-5.6861,-5.6346,-5.6861,-5.683707847,-0.057794,1.085609741,1.10665434,1.10665434,1.105466048,27.36555726,66.6177304,12.48114003,34.98895506,"[-5.6861, -5.6346, -5.6752]","[-247.76801068907798, -247.76470284014403, -247.765904514978]","[1.1066543402839122, 1.0856097407822318, 1.0999688925984976]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.720507847,1.941392153,71.91406126,1,0,0,0,0,0,0,0,0,0,0,0
4,2,[H]C(N(C)C)=O,H7-H12,C3,5,71,TRUE,92.2349,0.20931,0.117865,0.153014,0.040287,-4.9154,-4.9146,-4.9151,-4.915035339,-0.004328,0.9422255982,0.9425927027,0.9424196139,0.9424134372,24.9001509,60.75500181,11.02477986,25.51873123,"[-4.9146, -4.9154, -4.9151]","[-247.76975771125402, -247.76976954787298, -247.769778184132]","[0.942225598168131, 0.9425927026901237, 0.9424196138553173]",4,C1,C=CC#N,-1.9782,-8.1074,2.936835339,3.192364661,59.79266387,1,0,0,0,0,0,0,0,0,0,0,0
4,2,[H]C(N(C)C)=O,H6,C1,5,0,FALSE,93.20851,0.10882,0.081955,0.166862,0.033286,-5.6861,-5.6346,-5.6861,-5.683707847,-0.057794,1.085609741,1.10665434,1.10665434,1.105466048,27.36555726,66.6177304,12.48114003,34.98895506,"[-5.6861, -5.6346, -5.6752]","[-247.76801068907798, -247.76470284014403, -247.765904514978]","[1.1066543402839122, 1.0856097407822318, 1.0999688925984976]",4,C1,C=CC#N,-1.9782,-8.1074,3.705507847,2.423692153,59.79266387,1,0,0,0,0,0,0,0,0,0,0,0
5,2,[H]C(N(C)C)=O,H7-H12,C3,5,61,TRUE,92.2349,0.20931,0.117865,0.153014,0.040287,-4.9154,-4.9146,-4.9151,-4.915035339,-0.004328,0.9422255982,0.9425927027,0.9424196139,0.9424134372,24.9001509,60.75500181,11.02477986,25.51873123,"[-4.9146, -4.9154, -4.9151]","[-247.76975771125402, -247.76976954787298, -247.769778184132]","[0.942225598168131, 0.9425927026901237, 0.9424196138553173]",5,C1,C=CC(C)=O,-1.9354,-7.0384,2.979635339,2.123364661,60.77911164,1,0,0,0,0,0,0,0,0,0,0,0
5,2,[H]C(N(C)C)=O,H6,C1,5,0,FALSE,93.20851,0.10882,0.081955,0.166862,0.033286,-5.6861,-5.6346,-5.6861,-5.683707847,-0.057794,1.085609741,1.10665434,1.10665434,1.105466048,27.36555726,66.6177304,12.48114003,34.98895506,"[-5.6861, -5.6346, -5.6752]","[-247.76801068907798, -247.76470284014403, -247.765904514978]","[1.1066543402839122, 1.0856097407822318, 1.0999688925984976]",5,C1,C=CC(C)=O,-1.9354,-7.0384,3.748307847,1.354692153,60.77911164,1,0,0,0,0,0,0,0,0,0,0,0
6,2,[H]C(N(C)C)=O,H7-H12,C3,5,47,TRUE,92.2349,0.20931,0.117865,0.153014,0.040287,-4.9154,-4.9146,-4.9151,-4.915035339,-0.004328,0.9422255982,0.9425927027,0.9424196139,0.9424134372,24.9001509,60.75500181,11.02477986,25.51873123,"[-4.9146, -4.9154, -4.9151]","[-247.76975771125402, -247.76976954787298, -247.769778184132]","[0.942225598168131, 0.9425927026901237, 0.9424196138553173]",6,C1,C=CC(OCC)=O,-1.6299,-7.7176,3.285135339,2.802564661,60.65039622,1,0,0,0,0,0,0,0,0,0,0,0
6,2,[H]C(N(C)C)=O,H6,C1,5,0,FALSE,93.20851,0.10882,0.081955,0.166862,0.033286,-5.6861,-5.6346,-5.6861,-5.683707847,-0.057794,1.085609741,1.10665434,1.10665434,1.105466048,27.36555726,66.6177304,12.48114003,34.98895506,"[-5.6861, -5.6346, -5.6752]","[-247.76801068907798, -247.76470284014403, -247.765904514978]","[1.1066543402839122, 1.0856097407822318, 1.0999688925984976]",6,C1,C=CC(OCC)=O,-1.6299,-7.7176,4.053807847,2.033892153,60.65039622,1,0,0,0,0,0,0,0,0,0,0,0
7,2,[H]C(N(C)C)=O,H7-H12,C3,5,60,TRUE,92.2349,0.20931,0.117865,0.153014,0.040287,-4.9154,-4.9146,-4.9151,-4.915035339,-0.004328,0.9422255982,0.9425927027,0.9424196139,0.9424134372,24.9001509,60.75500181,11.02477986,25.51873123,"[-4.9146, -4.9154, -4.9151]","[-247.76975771125402, -247.76976954787298, -247.769778184132]","[0.942225598168131, 0.9425927026901237, 0.9424196138553173]",5,C1,C=CC(C)=O,-1.9354,-7.0384,2.979635339,2.123364661,60.77911164,1,0,0,0,0,0,0,0,0,0,0,0
7,2,[H]C(N(C)C)=O,H6,C1,5,0,FALSE,93.20851,0.10882,0.081955,0.166862,0.033286,-5.6861,-5.6346,-5.6861,-5.683707847,-0.057794,1.085609741,1.10665434,1.10665434,1.105466048,27.36555726,66.6177304,12.48114003,34.98895506,"[-5.6861, -5.6346, -5.6752]","[-247.76801068907798, -247.76470284014403, -247.765904514978]","[1.1066543402839122, 1.0856097407822318, 1.0999688925984976]",5,C1,C=CC(C)=O,-1.9354,-7.0384,3.748307847,1.354692153,60.77911164,1,0,0,0,0,0,0,0,0,0,0,0
8,3,[H]C(NC)=O,H5,C1,5,46,TRUE,94.27302,0.10115,0.08102,0.16133,0.035081,-5.831,-5.8128,-5.8129,-5.818884441,-0.085627,1.069168044,1.167340571,1.069168044,1.098607847,25.69228673,63.88522685,8.438252261,29.22745853,"[-5.8128, -5.8129, -5.8128, -5.831]","[-208.504330873133, -208.505197569053, -208.504329900429, -208.50509266433403]","[1.167324025677405, 1.0691680440866067, 1.1673405711945029, 1.0701988281995287]",2,C2,C/C=C/C(OC)=O,-1.3725,-7.4732,4.446384441,1.654315559,71.69631139,1,0,0,0,0,0,0,0,0,0,0,0
8,3,[H]C(NC)=O,H7-H9,C3,5,0,FALSE,92.63003,0.19719,0.128289,0.139427,0.035064,-4.7466,-4.6477,-4.7451,-4.736064188,-0.356767,0.8813142606,0.8944635844,0.8943705099,0.8931098282,20.48556991,58.79969916,7.121130021,21.21651869,"[-4.6483, -4.7451, -4.6477, -4.7466]","[-208.50708277633703, -208.50917642729502, -208.507098081609, -208.50915507741402]","[0.8813142605548281, 0.8943705098562846, 0.8813656323703639, 0.8944635843830065]",2,C2,C/C=C/C(OC)=O,-1.3725,-7.4732,3.363564188,2.737135812,71.69631139,1,0,0,0,0,0,0,0,0,0,0,0
